TESTING AWS;;;;;;;;;;;;;;;;;
Traceability Info:; TRAZiT;;;;;;;;;;;;;;;;
Exported by:;I'm admin for superuser;;;;;;;;;;;;;;;;
Exported on:;Mon Oct 28 2024 15:22:32 GMT+0100 (Central European Standard Time);;;;;;;;;;;;;;;;
System:;demo_v0_9_2;Procedure:;instruments;;;;;;;;;;;;;;
name;family;on_line;model_number;serial_number;supplier;manufacturer;created_on;is_locked;description;last_calibration;next_calibration;last_prev_maint;next_prev_maint;;;;
prueba2024-09-19T08:45:20.374691;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-19 08:45:20.3893;false;;;;;;;;;
prueba2024-09-09T09:57:39.944482;Viscosimetro;false;123;456;PB INSTRUMENTS;METTLER;2024-09-09 09:57:39.957;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
prueba2024-09-09T09:22:57.401866;Viscosimetro;false;1;1;PB INSTRUMENTS;PERKIN ELMER;2024-09-09 09:22:57.4302;false;;;;;;;;;
PE-102392;UPLC;false;1;1006;PERKIN ELMER;PERKIN ELMER;2024-06-10 13:09:17.6138;false;;;;;;;;;
PE-102124;Balanzas;false;234;234;LEICA;METTLER;2024-09-19 16:16:53.5841;false;High-precision balance used for accurately measuring small quantities of mass, essential in quantitative analysis.;;;;;;;;
PB-382012;Viscosimetro;true;1;1;PB INSTRUMENTS;METTLER;2024-08-31 14:54:24.0392;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
NU-412931;;false;;;;;2024-06-16 01:21:36.6748;false;;;;;;;;;
NU-145930;;false;;;;;2024-06-16 01:25:53.7365;false;;;;;;;;;
NU-145923;;false;;;;;2024-06-16 01:15:02.2606;false;;;;;;;;;
NU-145841;;false;123;13;;;2024-06-16 01:13:43.5811;false;;;;;;;;;
NU-145783;;false;;;;;2024-06-16 01:24:56.8389;false;;;;;;;;;
NU-145512;;false;;;;;2024-06-16 01:19:13.6972;false;;;;;;;;;
MT-382192;Viscosimetro;false;1;1;METTLER;METTLER;2024-09-01 18:08:58.1919;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
ME-382012;Viscosimetro;false;1;1;METTLER;METTLER;2024-09-19 08:20:59.1215;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
ME-271829;Viscosimetro;false;1;1;METTLER;METTLER;2024-09-18 10:24:17.4879;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
LE-791023;Viscosimetro;false;1;1;LEICA;PERKIN ELMER;2024-09-08 18:35:36.691;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
LE-749201;Balanzas;true;1;0;LEICA;METTLER;2024-09-19 14:50:21.0359;false;High-precision balance used for accurately measuring small quantities of mass, essential in quantitative analysis.;;;;;;;;
LE-427218;UPLC;false;134;1234;LEICA;METTLER;2024-06-13 16:52:49.4943;false;;;;;;;;;
LE-329481;Viscosimetro;true;1;1;LEICA;METTLER;2024-06-26 13:44:09.4327;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;2024-09-19 10:58:42.1379;;2024-09-19 17:51:59.4093;;;;;
LE-123482;UPLC;false;567;345;LEICA;METTLER;2024-09-19 15:34:42.4976;false;;;;;;;;;
HPLC01;HPLC;true;2365;234;WATERS;WATERS;2024-06-22 14:11:27.3575;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;2024-06-22 14:21:54.7506;;2024-08-30 10:38:48.2716;;;;;
Frontend Testing 2024-02-16T08:54:52.663733;HPLC;false;123;456;LEICA;METTLER;2024-02-16 08:54:52.6728;false;;;;;;;;;
Frontends Testing 2024-06-26T15:39:44.773388;Viscosimetro;false;123;456;LEICA;METTLER;2024-06-26 15:39:44.7866;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
Frontends Testing 2024-06-26T15:34:19.836293;Viscosimetro;false;123;456;LEICA;METTLER;2024-06-26 15:34:19.8439;false;;;;;;;;;
Frontends Testing 2024-06-26T15:28:06.130052;Viscosimetro;false;123;456;LEICA;METTLER;2024-06-26 15:28:06.14;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
Frontends Testing 2024-06-26T15:16:18.843695;Viscosimetro;false;123;456;LEICA;METTLER;2024-06-26 15:16:18.8502;false;Measures the viscosity of liquids, crucial for determining fluid flow properties in various industrial and laboratory applications.;;;;;;;;
Frontends Testing 2024-04-03T09:40:26.458430;HPLC;false;123;456;LEICA;METTLER;2024-04-03 09:40:26.4683;false;;;;;;;;;
Frontends Testing 2024-02-28T09:22:26.999710;HPLC;false;123;456;LEICA;METTLER;2024-02-28 09:22:27.0082;false;;;;;;;;;
Frontends Testing 2024-02-28T08:57:03.003145;HPLC;false;123;456;LEICA;METTLER;2024-02-28 08:57:03.0133;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T11:01:32.339526;HPLC;false;123;456;LEICA;METTLER;2024-02-17 11:01:32.347;false;;;;;;;;;
Frontends Testing 2024-02-17T11:01:26.955688;HPLC;false;123;456;LEICA;METTLER;2024-02-17 11:01:26.9644;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:59:15.050367;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:59:15.0585;false;;;;;;;;;
Frontends Testing 2024-02-17T10:59:08.978947;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:59:08.986;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:57:40.221799;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:57:40.2295;false;;;;;;;;;
Frontends Testing 2024-02-17T10:57:33.941725;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:57:33.949;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:55:37.056084;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:55:37.064;false;;;;;;;;;
Frontends Testing 2024-02-17T10:55:31.601781;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:55:31.6095;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:53:15.273484;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:53:15.2813;false;;;;;;;;;
Frontends Testing 2024-02-17T10:53:09.537340;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:53:09.5448;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:49:47.683786;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:49:47.6916;false;;;;;;;;;
Frontends Testing 2024-02-17T10:49:43.015223;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:49:43.0268;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:48:17.163565;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:48:17.1705;false;;;;;;;;;
Frontends Testing 2024-02-17T10:48:11.103945;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:48:11.1117;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:36:35.264513;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:36:35.2724;false;;;;;;;;;
Frontends Testing 2024-02-17T10:36:25.029318;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:36:25.0367;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:32:54.423333;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:32:54.4302;false;;;;;;;;;
Frontends Testing 2024-02-17T10:32:47.809577;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:32:47.8169;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:22:49.168280;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:22:49.1772;false;;;;;;;;;
Frontends Testing 2024-02-17T10:19:44.261275;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:19:44.2685;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:19:37.447425;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:19:37.4548;false;;;;;;;;;
Frontends Testing 2024-02-17T10:15:28.366530;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:15:28.3741;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:15:22.879726;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:15:22.8922;false;;;;;;;;;
Frontends Testing 2024-02-17T10:12:41.846435;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:12:41.8541;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:12:34.923210;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:12:34.9308;false;;;;;;;;;
Frontends Testing 2024-02-17T10:11:09.819817;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:11:09.8295;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:11:05.259445;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:11:05.2669;false;;;;;;;;;
Frontends Testing 2024-02-17T10:08:43.816498;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:08:43.8237;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T10:06:50.153072;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:06:50.1605;false;;;;;;;;;
Frontends Testing 2024-02-17T10:06:41.997785;HPLC;false;123;456;LEICA;METTLER;2024-02-17 10:06:42.0108;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-17T09:58:33.911945;HPLC;false;123;456;LEICA;METTLER;2024-02-17 09:58:33.9211;false;;;;;;;;;
Frontends Testing 2024-02-17T09:58:28.405550;HPLC;false;123;456;LEICA;METTLER;2024-02-17 09:58:28.4141;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-16T11:48:18.585649;HPLC;false;123;456;LEICA;METTLER;2024-02-16 11:48:18.5929;false;;;;;;;;;
Frontends Testing 2024-02-16T11:46:28.749723;HPLC;false;123;456;LEICA;METTLER;2024-02-16 11:46:28.7574;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-16T09:23:38.772845;HPLC;false;123;456;LEICA;METTLER;2024-02-16 09:23:38.7797;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-16T09:10:40.016743;HPLC;false;123;456;LEICA;METTLER;2024-02-16 09:10:40.0366;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-16T09:05:44.099773;HPLC;false;123;456;LEICA;METTLER;2024-02-16 09:05:44.1069;false;;;;;;;;;
Frontends Testing 2024-02-16T09:04:53.730960;HPLC;false;123;456;LEICA;METTLER;2024-02-16 09:04:53.7419;false;Separates and analyzes components in liquid samples with high resolution and accuracy, frequently used in pharmaceutical and biochemical labs.;;;;;;;;
Frontends Testing 2024-02-16T08:57:38.536784;HPLC;false;123;456;LEICA;METTLER;2024-02-16 08:57:38.5444;false;;;;;;;;;
frann;Viscosimetro;false;1;2;LEICA;METTLER;2024-10-16 15:13:08.1278;false;;;;;;;;;
CG-283941;CG;false;;;LEICA;METTLER;2024-01-12 13:18:32.4176;false;Instrument for separating and analyzing volatile compounds in gas form, commonly used in chemical and environmental testing.;2024-06-26 18:41:44.1974;;2024-06-27 16:20:26.5302;;;;;
CG2;CG;false;123;321;LEICA;METTLER;2024-10-23 14:06:50.2469;false;;;;;;;;;
CG0011;CG;false;12;12;LEICA;METTLER;2024-10-02 09:33:40.5355;false;;;;;;;;;
Balanzas2;Balanzas;false;432;123;LEICA;METTLER;2024-10-23 13:46:30.7223;false;;;;;;;;;
Balanzas1;Balanzas;false;14;13;METTLER;PERKIN ELMER;2022-03-03 15:49:05.715;true;High-precision balance used for accurately measuring small quantities of mass, essential in quantitative analysis.;;;;;;;;
